Part Number,Mfg Name,VID,Vendor Part Num,Description,Customer Ref,Part Value,Qty-1,Qty-5,Qty-25,Part References,Value
MMBF4393,Fairchild Semiconductor,DK,MMBF4393CT-ND,JFET N-CH 30V 350MW SOT23,jfet001,MMBF4393,1,5,25,Q3,MMBF4393,,,,,
"*** ERROR - PART 'NMJ4HCD2' NOT FOUND FOR: ""J9"," J10""",,,,,,,,,,,,,,,
"*** ERROR - PART '*' NOT FOUND FOR: ""H1", H2, H3," H4""",,,,,,,,,,,,,
MUN2214T1G,ON Semiconductor,DK,MUN2214T1GOSCT-ND,TRANS PREBIAS NPN 230MW SC59,bjtp001,MUN2214,6,30,150,"Q1, Q2, Q4, Q8, Q9, Q10",MUN2214T1,,,,,
"*** ERROR - PART '*' NOT FOUND FOR: ""R34"," R34-2""",,,,,,,,,,,,,,,
"*** ERROR - PART '*' NOT FOUND FOR: ""R6", R40, R45, R56, R56-2, R62, R62-2, R63, R63-2, R72, R72-2, R73, R73-2, R101, R106, R107," R141"""
"*** ERROR - PART '*' NOT FOUND FOR: ""R9""",,,,,,,,,,,,,,,,
"*** ERROR - PART '*' NOT FOUND FOR: ""R121"," R121-2""",,,,,,,,,,,,,,,
NFM3DPC223R1H3L,Murata,DK,490-6985-1-ND,FILTER LC HIGH FREQ 22000PF 1206,fer001,22n,1,5,25,CF1,NFM3DPC223R1H3L,,,,,,,,,,,,,
OS102011MA1QN1,C&K Components,DK,CKN9559-ND,SWITCH SLIDE SPDT 100MA 12V,sw0006,OS102011MA1QN1,1,5,25,SW2,OS102011MA1Q,,,,,,,,,,,,,
S1G-13-F,Diodes Inc.,DK,S1G-FDICT-ND,DIODE GEN PURP 400V 1A SMA,diode0005,S1G,1,5,25,D9,S1G-13-F,,,,,,,,,,,,,
SN74CBTLV3245APWR,Texas Instruments,DK,296-9121-1-ND,IC LV OCTAL FET BUS SW 20-TSSOP,iclog002,SN74CBTLV3245A,1,5,25,U18,SN74CBTLV3245APW,,,,,,,,,,,,,
SN74HC4066DR,Texas Instruments,DK,296-14854-1-ND,IC SWITCH QUAD 1X1 14SOIC,icmux002,SN74HC4066D,1,5,25,IC2,SN74HC4066D,,,,,,,,,,,,,
"*** ERROR - PART 'NMJ6HCD2' NOT FOUND FOR: ""J3""",,,,,,,,,,,,,,,,,,,,,,,,
TLV320AIC3204IRHBT,Texas Instruments,DK,296-32391-1-ND,IC STEREO AUDIO CODEC 1.8V 32QFN,icacdc001,TLV320AIC3204,1,5,25,U17,TLV320AIC3204IRHBT,,,,,,,,,,,,,
TMS320C5535AZHH10,Texas Instruments,DK,296-29560-ND,IC DSP FIXED-POINT 144BGA,icdsp001,TMS320C5535,2,10,50,"U4, U5",TMS320C5535,,,,,,,,,,,,,
TPD2E001DRLR,Texas Instruments,DK,296-21883-1-ND,TVS DIODE 5.5VWM 100VC SOT5,tvs002,TPD2E001,1,5,25,U7,TPD2E001IDRLRQ1,,,,,,,,,,,,,
TPS3803-01DCKR,Texas Instruments,DK,296-13405-1-ND,IC VOLT DETECTOR ADJ/1.5V SC70-5,icvdet001,TPS3803,1,5,25,U3X,TPS3803-01DCKR,,,,,,,,,,,,,
TPS73201DBVT,Texas Instruments,DK,296-15807-1-ND,IC REG LDO ADJ 0.25A SOT23-5,icreg007,TPS73201,1,5,25,U11X,TPS73201DBVT,,,,,,,,,,,,,
TPS562209DDCT,Texas Instruments,DK,296-37302-1-ND,IC REG BUCK ADJ 2A SYNC SOT-23-6,icreg006,TPS562209,2,10,50,"U1X, U12X",TPS562209SO,,,,,,,,,,,,,
"*** ERROR - PART '*' NOT FOUND FOR: ""TP1", TP2, TP4, TP4-2, TP4X, TP5X, TP6X, TP7X, TP8X, TP13, TP14, TP15, TP16, TP19, TP20, TP21, TP23X, TP24X, TP25X, TP26X, TP27X, TP28X, TP29X, TP30X," TP31X"""
"*** ERROR - PART '*' NOT FOUND FOR: ""TP3", TP5, TP6, TP7," TP10""",,,,,,,,,,,,,,,,,,,,
M701-370442,Harwin,DK,952-1768-ND,00B B SINGLE SMT HORIZ CONNECTOR,con017,M701-370442,1,5,25,J2,USB-B-SMT,,,,,,,,,,,,,
10033526-N3212LF,FCI,DK,609-4700-1-ND,CONN MINI USB RCPT RA TYPE B SMD,con018,10033526-N3212LF,2,10,50,"J1, J1-2",USB-MINIB-5PIN,,,,,,,,,,,,,
W25Q64FVSFIG,Winbond Electronics,DK,W25Q64FVSFIG-ND,IC FLASH 64MBIT 104MHZ 16SOIC,icmem002,W25Q64,2,10,50,"U9, U9-2",W25Q64FVSFIG
